shipment_id,timestamp,scan_type,status,delay_duration,route_id,warehouse_id,source_file,source_row_id,delay_id,delay_reason,delay_duration_showcase-delay-reports,initial_delay_duration,reported_at,route_id_showcase-delay-reports,warehouse_id_showcase-delay-reports,source_file_showcase-delay-reports,source_row_id_showcase-delay-reports,_delay_match,transfer_id,source_warehouse,destination_warehouse,transfer_time,expected_transfer_time,actual_transfer_time,transfer_status,source_file_showcase-warehouse-transfers,source_row_id_showcase-warehouse-transfers,_transfer_match,_record_source,_source_datasets,_integration_key
S00001,2024-03-01 09:32:00+00:00,pickup,on_time,0.0,R2,W2,synthetic_showcase,0,DL-S00001,traffic,62.6,0.0,2024-03-02 13:32:00+00:00,R2,W5,synthetic_showcase,0.0,both,T-S00001,W2,W5,2024-03-01 19:32:00+00:00,2024-03-01 18:32:00+00:00,2024-03-01 19:32:00+00:00,on_time,synthetic_showcase,0.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00001
S00001,2024-03-01 19:32:00+00:00,hub_arrival,on_time,0.0,R2,W5,synthetic_showcase,1,DL-S00001,traffic,62.6,0.0,2024-03-02 13:32:00+00:00,R2,W5,synthetic_showcase,0.0,both,T-S00001,W2,W5,2024-03-01 19:32:00+00:00,2024-03-01 18:32:00+00:00,2024-03-01 19:32:00+00:00,on_time,synthetic_showcase,0.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00001
S00001,2024-03-01 22:32:00+00:00,hub_departure,delayed,17.7,R2,W5,synthetic_showcase,2,DL-S00001,traffic,62.6,0.0,2024-03-02 13:32:00+00:00,R2,W5,synthetic_showcase,0.0,both,T-S00001,W2,W5,2024-03-01 19:32:00+00:00,2024-03-01 18:32:00+00:00,2024-03-01 19:32:00+00:00,on_time,synthetic_showcase,0.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00001
S00001,2024-03-02 11:32:00+00:00,delivery,delivered,62.6,R2,,synthetic_showcase,3,DL-S00001,traffic,62.6,0.0,2024-03-02 13:32:00+00:00,R2,W5,synthetic_showcase,0.0,both,T-S00001,W2,W5,2024-03-01 19:32:00+00:00,2024-03-01 18:32:00+00:00,2024-03-01 19:32:00+00:00,on_time,synthetic_showcase,0.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00001
S00002,2024-03-02 08:01:00+00:00,pickup,on_time,0.0,R6,W5,synthetic_showcase,4,DL-S00002,customs,17.5,0.0,2024-03-03 11:01:00+00:00,R6,W1,synthetic_showcase,1.0,both,T-S00002,W5,W1,2024-03-02 13:01:00+00:00,2024-03-02 12:01:00+00:00,2024-03-02 13:01:00+00:00,on_time,synthetic_showcase,1.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00002
S00002,2024-03-02 13:01:00+00:00,hub_arrival,on_time,0.0,R6,W1,synthetic_showcase,5,DL-S00002,customs,17.5,0.0,2024-03-03 11:01:00+00:00,R6,W1,synthetic_showcase,1.0,both,T-S00002,W5,W1,2024-03-02 13:01:00+00:00,2024-03-02 12:01:00+00:00,2024-03-02 13:01:00+00:00,on_time,synthetic_showcase,1.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00002
S00002,2024-03-02 17:01:00+00:00,hub_departure,delayed,17.5,R6,W1,synthetic_showcase,6,DL-S00002,customs,17.5,0.0,2024-03-03 11:01:00+00:00,R6,W1,synthetic_showcase,1.0,both,T-S00002,W5,W1,2024-03-02 13:01:00+00:00,2024-03-02 12:01:00+00:00,2024-03-02 13:01:00+00:00,on_time,synthetic_showcase,1.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00002
S00002,2024-03-03 09:01:00+00:00,delivery,delivered,0.0,R6,,synthetic_showcase,7,DL-S00002,customs,17.5,0.0,2024-03-03 11:01:00+00:00,R6,W1,synthetic_showcase,1.0,both,T-S00002,W5,W1,2024-03-02 13:01:00+00:00,2024-03-02 12:01:00+00:00,2024-03-02 13:01:00+00:00,on_time,synthetic_showcase,1.0,both,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00002
S00003,2024-03-03 08:46:00+00:00,pickup,on_time,0.0,R3,W3,synthetic_showcase,8,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00003
S00003,2024-03-03 17:46:00+00:00,delivery,delivered,0.0,R3,,synthetic_showcase,9,,,,,,,,,,left-only,,,,,,,,,,left-only,showcase_shipment_scans_cleaned,"showcase_shipment_scans_cleaned,showcase_delay_reports_cleaned,showcase_warehouse_transfers_cleaned",S00003
